"";"";"";"";"diante";""
"1";"diante";"-0.774317982812582";"-0.402022852669083";"1.35047426236269";"65"
"2";"principalmente";"0.787061215061393";"0.13620478132051";"1.32935927717167";"69"
"3";"esse";"0.295251699927632";"0.497488715253648";"1.18180182206726";"96"
"4";"outro";"0.330779184530583";"0.12312315401435";"1.18072957672553";"97"
"5";"parte";"-0.441719718647245";"-0.092981505735542";"1.17182169234807";"100"
"6";"quase";"-0.13861722030856";"-0.010551349813164";"1.15359352153863";"102"
"7";"2019";"-0.145143623721884";"-0.527267532595359";"1.10756945225509";"134"
"8";"imediatamente";"-1.40104711816943";"0.0722144790198113";"1.09280545870356";"138"
"9";"sua";"0.356485659247807";"0.138621990304425";"1.08562966295505";"148"
"10";"tudo";"0.285684225771645";"-0.161337395371919";"1.08216548569715";"149"
"11";"segundo";"-0.117340402355835";"-0.456672850188169";"1.06237018708057";"151"
"12";"estar";"0.144579286529202";"0.0993110055535897";"1.05717392119372";"154"
"13";"sob";"-0.0323132613549343";"0.170944485702923";"1.05502943051025";"156"
"14";"ser";"-0.00210259480717053";"0.0608742450552024";"1.04735875229633";"157"
"15";"especialmente";"0.269154268869826";"0.347128021460957";"1.01931541258951";"164"
"16";"longe";"-0.608276506034101";"-0.21014887718757";"1.01337682300454";"169"
"17";"em";"0.0290965638601782";"-0.0376389262378373";"1.00917032204851";"171"
"18";"de";"0.0244139377542406";"0.0163568280218519";"0.992509279046227";"173"
"19";"relativamente";"-0.658264125924371";"-0.581730445862974";"0.987313013159375";"178"
"20";"dificilmente";"-0.658264125924371";"-0.581730445862974";"0.987313013159375";"179"
"21";"1967";"-0.668164222721905";"-0.155795611281379";"0.987313013159375";"185"
"22";"com";"0.0500837478667835";"-0.0855551810696085";"0.969744685637161";"192"
"23";"quando";"0.433243105681004";"-0.0632460251112372";"0.967930116597308";"193"
"24";"ele";"0.246938315717354";"0.121862214477802";"0.966692910433772";"195"
"25";"verdadeiro";"0.377672602571835";"0.686405493505412";"0.962486409477749";"196"
"26";"sem";"-0.0335070286267313";"0.277814092661296";"0.961579124957823";"197"
"27";"sim";"0.48787525122947";"0.161841805632584";"0.958032467289019";"199"
"28";"2022";"0.1544543927333";"-0.312081030458433";"0.955970457016459";"200"
"29";"verdade";"0.282284065865904";"0.281493197445948";"0.953990927154801";"202"
"30";"apenas";"-0.0777635033994738";"0.118724410744232";"0.952011397293143";"203"
"31";"desde";"0.364920924904046";"-0.113523524887574";"0.951846436471338";"204"
"32";"menos";"-0.0305967913843358";"-0.471968246834917";"0.949207063322461";"205"
"33";"amanhã";"0.164483834249038";"0.737539570267832";"0.939309414014172";"208"
"34";"doravante";"0.164483834249038";"0.737539570267832";"0.939309414014172";"209"
"35";"haver";"-0.0959776954677516";"-0.0331134303676135";"0.937989727439733";"217"
"36";"este";"0.292229650067261";"0.32207978795057";"0.92965920593859";"220"
"37";"hoje";"-0.0490350689268042";"0.0669064814319098";"0.92899936265137";"221"
"38";"necessariamente";"-1.0296556220469";"-0.254757983421581";"0.928092078131444";"222"
"39";"2014";"-0.152003483278632";"-0.405683821197451";"0.928092078131444";"223"
"40";"jamais";"-0.056862564236719";"-0.163515188290687";"0.925122783338957";"227"
"41";"alguém";"0.121536454141055";"0.427380524411541";"0.919184193753984";"228"
"42";"apesar";"0.0338026930205908";"-0.440008279016586";"0.917864507179545";"229"
"43";"infelizmente";"0.488948141346615";"-0.696320636664674";"0.912338319649083";"231"
"44";"até";"0.061683450282375";"-0.351745242787513";"0.911101113485547";"232"
"45";"tentar";"0.642391005866165";"0.067240936327194";"0.894687511715967";"240"
"46";"embora";"0.224357968864862";"-0.0687206522783579";"0.894192629250553";"241"
"47";"bastante";"0.67473297167973";"-0.37495560426554";"0.893532785963334";"242"
"48";"finalmente";"0.0638070478305305";"-0.0246498753459168";"0.888419000487384";"245"
"49";"aqui";"0.289099952433223";"-0.197907021258403";"0.887841637611067";"246"
"50";"tão";"-0.23880352214301";"-0.124197448941411";"0.887264274734751";"248"
"51";"durante";"0.298014322988957";"0.0999416736009011";"0.883965058298654";"249"
"52";"ela";"0.270668686874628";"0.255113297919813";"0.88347017583324";"250"
"53";"certamente";"-0.371420386096473";"-0.0392644100363251";"0.882232969669704";"251"
"54";"primeiro";"-0.161437869722998";"-0.0962268948367335";"0.878603831589997";"253"
"55";"perto";"0.653072431214057";"0.585532843400371";"0.875634536797511";"254"
"56";"2011";"0.0356416939250894";"-0.19293756730104";"0.869943388445244";"262"
"57";"completamente";"0.580187631829564";"-0.656700130837999";"0.869530986390732";"264"
"58";"qualquer";"0.0238523799839582";"-0.140005621807449";"0.86433472050388";"265"
"59";"todo";"-0.0316994125851654";"0.176179256658257";"0.862190229820418";"266"
"60";"justamente";"0.717255948651097";"-0.242165290801407";"0.843302215723766";"277"
"61";"também";"0.173773280071828";"0.150140758601634";"0.83695122408428";"279"
"62";"demais";"0.248862516100208";"0.295333160776184";"0.830682712855697";"280"
"63";"quem";"0.168085448265349";"0.0909092436646327";"0.829115585048551";"281"
"64";"oito";"0.344357062569573";"0.196297638049665";"0.825486446968845";"282"
"65";"basicamente";"0.344357062569573";"0.196297638049665";"0.825486446968845";"283"
"66";"dentro";"-0.371579064904472";"0.978975308550336";"0.818063209987628";"285"
"67";"afinal";"-0.172535427258353";"0.550579431480785";"0.817320886289506";"286"
